_id,title,address,description,link_url,indoor_outdoor,tags,longitude,latitude
11,Gibraltar Point Lighthouse,"On pathway slightly north of Lakeshore Avenue, near Hanlan's Bay","Now over 200 years old, this historic lighthouse is the oldest that can be found on the Great Lakes, and the second oldest in Canada. It was originally constructed in 1808-09 from limestone brought in from Queenston, near Niagara Falls. The first lighthouse keepers were among the first European settlers on Toronto Island, and formed the core of the community which developed there throughout the nineteenth and twentieth centuries. The lighthouse shone its last light out over the waters of Lake Ontario in 1957, after which it was replaced by a fully automated tower nearby. The lighthouse is also known for a famous ghost story involving lighthouse keeper John Rademuller, who went missing on January 2, 1815. Legend has it that Rademuller was murdered by soldiers, and that his ghost still haunts the site to this day.",,Outdoor,"lighthouse,niagara,ontario,rademuller,oldest,toronto,lakes,lake,ghost,haunts",-79.3852658,43.61365395
12,Hanlan's Point Beach,"Accessible from Beach Road, southwest of the Hanlan's Point Ferry Docks","The largest beach on Toronto Island, Hanlan's Point Beach is one of two clothing-optional beaches in Canada. It became known as a LGBTQ2S+-friendly gathering spot in the 1970s. In August 1971, Toronto Gay Action, the University of Toronto Homophile Association, and the Community Homophile Association of Toronto organized an event at the beach called 'Gay Day', which attracted hundreds of people. This event is now regarded by many activists as one of Toronto's first displays of gay and lesbian solidarity, and helped lay the groundwork for future Toronto Pride celebrations. A one-kilometre stretch of the beach was officially recognized as 'clothing optional' in 2002 after important work by groups such as Totally Naked Toronto, as well as lawyer Peter Simm. Hanlan's Point Beach is one of two that are blue flag certified in Toronto Island Park, meaning that its waters are tested daily during the summer months for quality. If a blue flag is flying, it means that it is safe to swim.",https://www.toronto.ca/data/parks/prd/facilities/complex/2541/index.html,Outdoor,"beaches,beach,toronto,flag,summer,island,park,lgbtq2s,celebrations,gay",-79.39332511,43.6193145
13,Babe Ruth's First Home Run Plaque,"Near western end of Lakeshore Avenue, slightly west of the Hanlan's Point Ferry Docks","A Heritage Toronto plaque notes that American baseball legend Babe Ruth hit his very first professional home run not far from here. Although it is mostly all parkland now, Hanlan's Point was once home to Maple Leaf Park, a baseball stadium where the Toronto Maple Leafs baseball team played. The stadium opened in 1867 as part of the Hanlan's Point Amusement Park on the site, where there was also hotels and amusement rides. Babe Ruth was only 19 years old when on September 5, 1914, playing for the minor league Providence Grays, hit his very first professional home run over the fence in right field. Ruth also pitched the game and allowed only one hit, helping lead the Grays to a 9-0 win. The Maple Leafs moved to another stadium near the foot of Bathurst Street in 1926, and Maple Leaf Park was demolished and the site redeveloped as the Toronto Island Airport.",,Outdoor,"leafs,toronto,stadium,baseball,ruth,park,1926,maple,parkland,hanlan",-79.390105,43.62779066
14,Emanuel Hahn 'Edward Hanlan' Statue and Plaque,Beside Hanlan's Point Ferry Docks,"Edward 'Ned' Hanlan was born in Toronto in 1855, and grew up on Toronto Island not far from where this statue is located. (Hanlan's Point is named for Ned's parents). Hanlan began rowing at a very young age, often crossing Lake Ontario to attend school on the mainland. He was one of the top rowers in the world by the late 1870s, and became the World Champion sculler by winning a race in London on November 15, 1880, a title he retained until 1884. Hanlan was internationally famous for his accomplishments, and remains regarded as one of the top rowers of all time. After retiring in 1897, Hanlan served as an Alderman for Toronto Island in 1898 and 1899. When he died of pneuomonia in 1908, over 10,000 people came to St. Andrew's Presbyterian Church on King Street to pay their respects. The statue of Hanlan greeting those exiting the ferry at Hanlan's Point was erected by sculptor Emanuel Hahn in 1926.",https://www.artworxto.ca/artwork/edward-hanlan-public-374,Outdoor,"hanlan,rowers,rowing,alderman,1884,sculler,ferry,1880,hahn,edward",-79.38948323,43.6276559
15,Esther Lorrie Park,50 Westhumber Boulevard,This 3.5-hectare park on Westhumber Boulevard is located between Martingrove Road and Kipling Avenue. The park is situated on the south bank of the west branch of the Humber River and offers fantastic views over the river valley. It also provides direct access to the West Humber Recreation Trail. The park features a multipurpose sports field and a ball diamond.,https://www.toronto.ca/data/parks/prd/facilities/complex/841/index.html,Outdoor,"westhumber,park,martingrove,west,located,humber,valley,boulevard,recreation,trail",-79.57987108,43.72746138
16,Fantasy Fair at Woodbine Mall,500 Rexdale Boulevard,"Woodbine Mall is home to Fantasy Fair, a year-round indoor amusement park, featuring a 1911 antique carousel created by Charles I. D. Looff, a German woodcarver who moved to the United States in 1870 and was known for his hand-carved carousels. He is credited with building the first carousel at Coney Island, the famous New York amusement park, in 1876 and later opened a carousel manufacturing business, hiring other expert carvers. Woodbine Mall's carousel is just one of 13 Looff-designed carousels in operation today. The mall also features the Crystal Kaleidoscope, an impressive 50-foot-tall indoor Ferris wheel.",http://fantasyfair.ca/,Outdoor,"carousel,carousels,mall,woodbine,park,woodcarver,amusement,antique,looff,wheel",-79.60024365,43.7209153
17,Woodbine Racetrack,555 Rexdale Boulevard,"The history of Woodbine Racetrack goes all the way back to 1881, when the Ontario Jockey Club was founded and the very first Queen's Plate horse race was held on July 1 at a small track in the east end known as The Woodbine. After moving to a number of small facilities throughout the city in the early part of the twentieth century, this new modern and spacious current iteration of Woodbine Racetrack opened here in 1956. It immediately became one of the world's elite horse racing facilities, and plays host to the Queen's Plate each year. Queen Elizabeth the Second and Prince Philip attended the Queen's Plate at Woodbine in 1959, 1973 and 2010. Woodbine has undergone a number of renovations and upgrades over the years and, in addition to horse racing, also offers gaming and entertainment facilities.",https://woodbine.com/,Unknown,"racetrack,woodbine,jockey,racing,queen,track,plate,horse,elizabeth,prince",-79.60318931,43.71556816
18,Sharon Cemetery,580 Rexdale Boulevard,"This heritage-designated cemetery dates back to the 1840s, when a church was constructed nearby to serve the small hamlet of Highfield, which used to exist near present-day Rexdale Boulevard and Highway 27. Much of the congregation of the church had moved away by the 1950s, when residential developments began popping up nearby and Woodbine Racetrack opened. The church was demolished in 1967, and the cemetery languished from neglect through much of the remainder of the twentieth century. With the help of public donations, a group of volunteers completely restored the cemetery between 2005 and 2008. The oldest stone in the cemetery is for a woman who died in 1845, and it remains the only remaining physical reminder of the hamlet of Highfield.",,Indoor,"cemetery,highfield,church,racetrack,demolished,1950s,stone,woodbine,heritage,highway",-79.60810147,43.72038008
19,Ecoscope 2: 'Let's Take a Walk on the Wild Side' Mural,Highway 27 on Bridge over Humber River Between Queen's Plate Drive and Humber College Boulevard,"Located above the Pan Am Path along the West Humber Valley, this mural was painted as part of the Ecoscope 2 project, developed by artist Kirsten McCrea. She was inspired by the nearby Humber Arboretum, which includes a rare part of the Carolinian Forest ecosystem. Learning about this remarkable forest and endangered native plant species, the mural raises awareness by featuring the Gattinger's agalinis, small white lady's-slipper, small-flowered lipocarpha, slender bush-clover, horsetail spike-rush, small whorled pogonia and purple twayblade.",https://www.toronto.ca/explore-enjoy/festivals-events/cultural-hotspot/cultural-hotspot-tours/cultural-hotspot-tour-detail?id=ET33&title=Ecoscope-2:-Let's-Take-a-Walk-on-the-Wild-Side-(2017)&stop=3,Unknown,"arboretum,mural,agalinis,artist,humber,painted,forest,plant,valley,flowered",-79.6001314,43.72767642
20,Humber College North Campus,207 Humber College Boulevard,"In 1967, the Ontario government passed legislation for Colleges of Applied Arts and Technology to be established to increase the skilled workforce. Humber College opened its northern campus in 1968. The campus was built on farmland and, when it opened, it lacked basic amenities for students. It did not have drinking water or sewage lines for toilets. There was no public transit and it was not easily accessed by paved roads. Today, Humber College has modern facilities to serve thousands of students annually, including state-of-the-art learning environments such as clinics, laboratories, recording studios and training centres for various trades. Visit the Learning Resource Commons to see rotating activations by the Humber Galleries on a large wall in the atrium. The building is adjacent to the parking lot off of Humber College Boulevard.",https://www.toronto.ca/explore-enjoy/festivals-events/cultural-hotspot/cultural-hotspot-tours/cultural-hotspot-tour-detail?id=ET33&title=Humber-College-North-Campus&stop=6,Outdoor,"humber,campus,colleges,college,students,facilities,training,commons,studios,arts",-79.60692187,43.72942877
21,Humber Arboretum,205 Humber College Boulevard,"The arboretum is located on one hundred hectares of parkland and features landscaped gardens, ponds and wild areas with over 1,700 species of trees and flowering plants as well as an array of wildlife. The arboretum's deciduous forest is one of the last remaining forests along the West Humber River and it is protected as an Environmentally Significant Area by the City of Toronto. Two hundred years ago much of the surrounding area was covered by forests, but the forests were cut down by European settlers to establish farmland. This loss of forest habitats impacted the local wildlife and plant species, as well as migratory birds and butterflies. Humber College works with the City of Toronto and Toronto & Region Conservation Authority (TRCA) to protect the woods from invasive species and set up fences to stop wildflowers being trampled by visitors. In 2016, as part of restoration efforts, the City of Toronto planted over four hundred new native trees in the arboretum, using only locally collected seeds.",https://humber.ca/arboretum/,Outdoor,"arboretum,forests,trees,toronto,forest,gardens,conservation,plants,wildlife,planted",-79.60790501,43.7255071
22,Humber Centre for Urban Ecology,In Humber Arboretum (205 Humber College Boulevard),"The Centre for Urban Ecology is an educational facility for student groups and the public. Visitors are encouraged to explore the educational displays to learn more about the local environment. The building is positioned on the four cardinal points, with sides facing north, south, east and west. It was designed to promote eco-friendly sustainability, and was Gold Certified by the Leadership in Energy and Environmental Design Building Rating System. The centre includes a green roof that collects rain water for non-potable water uses, such as flushing toilets and watering plants, and the roof and earthen banks along the lower level help to insulate the building to create an energy-efficient heating and cooling system.",https://humber.ca/arboretum/explore/centre-for-urban-ecology.html,Indoor,"environmental,ecology,environment,sustainability,centre,eco,building,roof,urban,facility",-79.60958169,43.72575475
23,Humberwood Community Centre,850 Humberwood Boulevard,"The Humberwood Centre is an exceptional public facility due to its size and functionality. The complex was completed in 1996, in partnership with the Etobicoke Parks & Recreation Department, and houses two schools, a public library, a daycare and a community and recreation centre. The centre's facilities available to the public include a triple-sized gym and great hall, where a variety of recreation programs and services are offered. The building was designed with many green features to help control flooding of the Humber River. It uses porous pavement to absorb water while directing runoff toward naturalized wetlands where the water is naturally filtered and cleaned. The gardens around the building are watered from rainwater runoff from the roof.",https://www.toronto.ca/data/parks/prd/facilities/complex/755/index.html,Outdoor,"humberwood,humber,wetlands,gardens,rainwater,facilities,parks,runoff,building,flooding",-79.61978323,43.72876819
24,BAPS Shri Swaminarayan Mandir,61 Claireville Drive,"The BAPS Shri Swaminarayan Mandir opened in 2007 and was the first temple in Canada to be built following traditional Hindu architectural guidelines. It is the only place of worship in Canada for the BAPS, or Bochasanwasi Shri Akshar Purushottam Swaminarayan Sanstha, a Hindu sect founded in Gujarat, India. The building contains 24,000 individual pieces of hardcarved marble, limestone and pink stone. The carvings were created in India and then shipped to Canada and assembled onsite. The Mandir was constructed in 18 months by over 400 volunteers, and includes many impressive domes and pinnacles and intricately carved features. The complex includes a Heritage Museum in the Haveli, the connected building to the east of the temple, which showcases the history and culture of the Indian-Canadian diaspora. The Havili consists of intricately carved teak wood at the entrance, windows, and in the interior.",https://www.baps.org/Global-Network/North-America/Toronto.aspx,Indoor,"swaminarayan,mandir,hindu,gujarat,temple,bochasanwasi,carvings,indian,building,shri",-79.62618587,43.73918503
25,Former Claireville Toll House,2095 Codlin Crescent,"*Note: Private property. Please observe the house from street only. This tollhouse is the oldest remaining building in Claireville and one of the oldest residences in Etobicoke, most likely built around 1854. It is also one of Toronto's last remaining tollhouses. When Claireville was established, it overlapped three townships: Etobicoke, Vaughan and Gore. In 1840, Jean du Petit Pont de la Haye bought one hundred acres located on the tip of northwest Etobicoke and, in 1849, registered a plan to subdivide part of the land into a village he named Claireville, after his eldest daughter. In 1846, the Albion Plank Road Company began to build a plank toll road from Weston to Bolton and included toll houses along the way to house fare collectors. Plank roads were expensive to maintain and, after a decade, the roads were gradually changed to gravel. The toll roads could not compete with railways for the transportation of goods and there were no toll keepers recorded in Claireville by 1878. By 1880, the Albion Plank Road Company had dissolved. The building now houses a transport company. ",https://www.toronto.ca/explore-enjoy/festivals-events/cultural-hotspot/cultural-hotspot-tours/cultural-hotspot-tour-detail?id=ET33&title=Claireville-Toll-House&stop=13,Indoor,"tollhouses,claireville,tollhouse,toll,roads,road,etobicoke,townships,1880,street",-79.63431844,43.74908305
26,Dr. Flea's Flea Market,8 Westmore Drive,"For over three decades, Dr. Flea's has remained Toronto's largest indoor and outdoor flea market. This international food court and local landmark draws over 10,000 visitors each weekend. The market gives opportunities to small and independent retailers. Dr. Flea's originally opened in 1987, and has served the area for more than 30 years.",,Outdoor,"flea,indoor,toronto,market,largest,visitors,retailers,dr,outdoor,landmark",-79.60541466,43.74179806
27,Len Braithwaite Park,490 Silverstone Drive,"In 2012, this park was named in honour of Leonard Austin Braithwaite, a lawyer and former politician who served in the Legislative Assembly of Ontario from 1963 to 1975. Braithwaite served with the Royal Canadian Air Force in the Second World War. He later became the first Black Canadian to be elected to the Ontario Legislature. During his political career, Braithwaite worked to revoke a section of the Ontario Separate Schools Act, which allowed racial segregation in public schools. He served as the Liberal Party Critic for Labour and Welfare and was also known for fighting for gender equality. He was appointed a Member of the Order of Canada in 1997 and was appointed to the Order of Ontario in 2004.",https://www.toronto.ca/data/parks/prd/facilities/complex/851/index.html,Outdoor,"braithwaite,ontario,canadian,appointed,liberal,segregation,legislature,politician,legislative,revoke",-79.59583666,43.73975752
28,Poonam Sharma Artbox,Southeast Corner of Finch Avenue West and Silverstone Drive,Poonam Sharma painted this colourful artbox with dynamic forms and portraits that showcase the creativity and vibrancy of the neighbourhood.,https://www.artworxto.ca/artwork/unknown-artwork-street-154,Unknown,"portraits,artbox,colourful,painted,poonam,creativity,neighbourhood,showcase,dynamic,sharma",-79.5953031,43.73607898
29,Garland Park,65 John Garland Boulevard,A small park near Kipling Avenue and Albion Road featuring an open green space that provides access to the West Humber Parkland and trails.,https://www.toronto.ca/data/parks/prd/facilities/complex/973/index.html,Outdoor,"park,parkland,trails,avenue,road,kipling,west,near,space,albion",-79.58321757,43.73237728
30,Elmbank Community Centre & Masseygrove Park,10 Rampart Road,"Elmbank Community Centre is a multipurpose facility, with many programs for children, youth, adults and seniors from fitness to arts. Facilities focus on music and arts programs for children and youth, including a sound studio for instruction in music production and recording. The community centre is located in Masseygrove Park. This community park is home to a number of recreational facilities and community gardens, and backs onto Elmbank Junior Middle School and Greenholme Junior Middle School. Local residents have joined with City initiatives to plant native species of trees in the park as part of reforestation efforts, planting hundreds of trees in 2019 alone.",https://www.toronto.ca/data/parks/prd/facilities/complex/750/index.html,Outdoor,"elmbank,masseygrove,community,facility,park,centre,facilities,trees,gardens,reforestation",-79.58874865,43.73464505
31,Toronto Public Library - Albion Branch,1515 Albion Road,"The Albion Library originally opened in 1965 in the Albion Mall Shopping Centre, moving to its current location in 1973, and continuing to expand over the following decades. It is one of the busiest libraries in Toronto with more than 350,000 visitors annually. In 2017, the library opened in a spectacular new 28,000-square-foot building designed by Perkins + Will Canada Architects, that includes facilities for children, a youth hub, a Digital Innovation Hub that includes virtual reality, robotics and 3D printers, public computers, several outdoor reading gardens, and an art exhibit space. It is home to over 105,000 books in a variety of languages, including Arabic, Bengali, Chinese, Gujarati, Hindi, Italian, Punjabi, Persian, Somali, Spanish, Tagalog, Telegu, Tamil, Urdu and Vietnamese. The main part of the building has high ceilings and windows that let in a lot of natural light. On the exterior, colourful vertical beams give the building an interesting and unique look within the community.",https://www.torontopubliclibrary.ca/albion/,Outdoor,"libraries,library,albion,mall,toronto,reading,building,visitors,books,facilities",-79.58455011,43.74014767
32,Highfield Park,68 Stevenson Road,"A 3.3 hectare park near Finch Avenue West and Albion Road that features two children's playgrounds, a splash pad and an open green space. A tributary to the Humber River flows along the western edge of the park.",https://www.toronto.ca/data/parks/prd/facilities/complex/844/index.html,Outdoor,"park,playgrounds,finch,avenue,albion,river,tributary,children,splash,road",-79.58817169,43.74398866
33,Rexdale Community Hub,21 Panorama Court,"The Rexdale Community Hub opened in 2012 and is one of seven community hubs in Toronto established as part of United Way Toronto's Building Strong Neighbourhoods Strategy (BSNS) to provide integrated services and programs for community members. The multi-service centre includes the Albion Neighbourhood Services, Delta Family Resource Centre, Rexdale Community Legal Clinic, Rexdale Women's Centre, the Boys and Girls Club of Greater Toronto, a satellite location of the Rexdale Community Health Centre and the City of Toronto's Employment & Social Services. At the hub, community members can access arts, recreational and educational programs for children, youth and seniors - career planning, childcare and employment as well as housing, legal and medical services. A mural along the entrance by Magicfinnga WonG (Basil Jardine) was painted in 2016 with the partnership of the Rexdale Community Health Centre and highlights moments in Rexdale's recent history, including the establishment of Rex Heslop Homes Ltd., the Woodbine Racetrack, and Rexdale resident P.K. Subban's drafting into the National Hockey League (NHL).",http://www.rexdalehub.org/,Indoor,"rexdale,toronto,community,nhl,centre,club,mural,establishment,neighbourhoods,neighbourhood",-79.58165141,43.74670658
34,Learning Garden Hub,31 Panorama Court,"Located in Panorama Park, the nearby Rexdale Community Health Centre operates the Learning Garden Hub, with programming run in partnership with Park People. The garden is used to engage local youth and residents in hands-on educational programs. This initiative began in 2013, and has continued to provide jobs, youth training and park stewardship opportunities for local communities. The garden developed from an initiative of the Weston Family Parks Challenge, supported by the W. Garfield Weston Foundation, to ensure the long-term sustainability of Toronto's parks through local community stewardship.",https://www.toronto.ca/explore-enjoy/festivals-events/cultural-hotspot/cultural-hotspot-tours/cultural-hotspot-tour-detail?id=ET32&title=Learning-Garden-Hub&stop=3,Outdoor,"garden,park,parks,rexdale,communities,weston,foundation,community,panorama,toronto",-79.57940215,43.7467328
35,Former Thistletown Regional Centre for Children and Adolescents,51 Panorama Court,"* Please note: This building is closed and not accessible to the public. Please view from the outside only. This heritage-designated former children's health care facility was set up by the Hospital for Sick Children when they purchased the land here in 1926. It was conceived of as a 'Palace of Sunshine', intended for children who were recuperating from maladies where a natural environment setting was thought to be helpful. It opened in 1928 with a 'parade' of young patients who arrived from the downtown hospital site. The hospital closed in the 1950s, and the property then became the Thistletown Regional Centre for Children and Adolescents, the first residential mental health centre for children and youths in Ontario. Ten small houses were constructed just south of the main building in the 1960s, intended for allowing youth with mental health issues to experience group living situations, which were thought to be healing. The hospital closed in 2014, but the buildings are still standing. Their future remains unknown.",,Indoor,"hospital,thistletown,facility,residential,buildings,downtown,centre,palace,ontario,building",-79.57759012,43.7469954
36,Smithfield Park,173 Mount Olive Drive,"A 4.5-hectare park on Martin Grove Road north of Albion Road featuring a lit ball diamond, a volleyball court, a skateboard area and a children's playground. A tributary to the Humber River flows along the south boundary of the park and is followed by trails in the park. Located in the park is the Smithfield Park Outdoor Pool.",https://www.toronto.ca/data/parks/prd/facilities/complex/869/index.html,Outdoor,"park,albion,pool,smithfield,grove,river,playground,ball,road,outdoor",-79.59577594,43.74750875
37,Smithfield Middle School,175 Mount Olive Drive,"Smithfield Middle School's origins go all the way back to 1845, when it was originally constructed. It was built to serve the small agricultural community of Smithfield, which was once situated at the corner of present-day Martin Grove Road and Albion Road. This school was upgraded to brick in 1874, and the current building opened in 1966. Today, the school serves 650 learners from a diverse population that speaks over 30 languages. There is a plaque located inside the school from the 1874 brick iteration of the school in the lobby, which remains the only surviving physical reminder of the Smithfield village.",,Indoor,"smithfield,school,middle,1845,building,village,brick,albion,learners,agricultural",-79.59518379,43.74999466
38,North Humber Park,2851 Kipling Avenue,"A 1.7-hectare park on Kipling Avenue south of Steeles Avenue West that features a ball diamond, a splash pad and a children's playground. A path leading to the east border of the park connects to the east branch of the Humber River and the Humber River Recreational Trail.",https://www.toronto.ca/data/parks/prd/facilities/complex/998/index.html,Outdoor,"park,playground,trail,kipling,river,avenue,recreational,path,ball,east",-79.587956,43.75756047
39,Beaumonde Heights Park,17 A Waltham Drive,"A small park featuring a pedestrian bridge, wildlife, ball diamond; tennis courts, and a playground",https://www.toronto.ca/data/parks/prd/facilities/complex/826/index.html,Outdoor,"park,playground,bridge,tennis,ball,pedestrian,wildlife,courts,small,diamond",-79.57208533,43.73974473
40,MagicFinnga WonG (Basil Jardine) and Carlos Mural,2645 Islington Avenue,"A mural that depicts a serene scene of a tiger drinking from a lotus pond, surrounded by rocks, flowers, and lily pads. Part of the StreetART Toronto program. Partnership organization: Rexdale Community Health Centre.",https://www.artworxto.ca/artwork/unknown-artwork-street-119,Unknown,"mural,tiger,pond,lotus,lily,flowers,depicts,drinking,serene,streetart",-79.56528297,43.73840324
41,MagicFinnga WonG (Basil Jardine) Mural,2630 Islington Avenue,"A mural that depicts India's joyful and colourful Holi festival through images of elephants and people celebrating with coloured powder against a landscape background, reflecting the area's Indian community. Part of the StreetART Toronto program. Parnership organization: Rexdale Community Health Centre",https://www.artworxto.ca/artwork/unknown-artwork-street-90,Unknown,"mural,holi,festival,celebrating,depicts,streetart,indian,india,community,elephants",-79.5654017,43.73682759
