title,address,description,imageLink,tags
A La Turk,"3443 Yonge St,Toronto, ON M4N 2N1","Sometimes venturing outside of downtown is worth the trek and A La Turk is an example of that. As you may have guessed, this North York restaurant serves up authentic Turkish fare. Its specialty is wood-fired pide (flatbread) and charcoal-grilled kebabs. While complimentary bread baskets are a thing of the past, here you are treated Chicken Wings, Kebabs",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/a-la-turk-455x200.jpg,"restaurant,turkish,kebabs,turk,flatbread,baskets,chicken,charcoal,grilled,bread"
AAA Bar,"138 Adelaide St E,Toronto, ON M5C 1K9","Every day is Rib Fest at this central Texas‒style barbecue joint. AAA Bar is serving up some of the city’s best barbecue and isn’t ashamed to say it. The award-winning dry-rub ribs, brisket and other favourites are smoked daily and made to feed the masses. At AAA, they also are proud to tell their guests Barbecue, Casual",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/AAABAR-455x200.jpg,"barbecue,ribs,bar,rib,brisket,texas,fest,aaa,smoked,guests"
Aafrien,"55 Eglinton Ave E,Toronto, ON M4P 1G8","When modern Tandoori cuisine originated 500 years ago, it was only prepared for kings. Now, this aristocratic experience comes to Toronto at Aafrien. The exclusive restaurant specializes in using the traditional clay oven tandoor to provide an authentic Indian dining experience. Aafrien’s extensive menu offers tandoor-cooked kebabs, curries, vegetables and hot naan. The long list Butter Chicken, Curry",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/52d9e5af-e55b-4bea-a827-bf10a197ee8f.JPG-e1627061303116-455x200.jpg,"tandoori,cuisine,tandoor,curries,dining,restaurant,curry,oven,cooked,indian"
Aburi Hana,"102 Yorkville Ave, Unit 4 Lower Level,Toronto, ON M5R 1B9","Aburi Hana is a posh new Japanese restaurant from Aburi Restaurants Canada, the restaurant group behind Miku Toronto and TORA. Tucked in a pedestrian laneway off Yorkville Avenue, Aburi Hana offers an intimate, kyō-kaiseki experience, a lavish style of dining that draws on the traditions of Japanese tea ceremonies. The restaurant’s name comes from a Japanese, Omakase",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/hana6_edited-1024x684-1-1-455x200.jpg,"aburi,hana,restaurant,kaiseki,restaurants,omakase,japanese,miku,dining,kyō"
Aces Pizza,"26 Duncan St,Toronto, ON M5V 2B8","This pizza joint is home to good old-fashioned Detroit-style pan pies. With affordable classics like pepperoni and veggie, pizza lovers can’t go wrong at Aces Pizza. Customers can’t get enough of the signature Dirty Burger, a classic Ace pizza topped with ground beef, smoked bacon, gooey brick cheese, queso jalapeno cheese sauce, and vegetables. Alternatives Caesar Salad, Chicken Wings",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/aces2-e1639763116997-455x200.jpg,"pizza,aces,pepperoni,ace,burger,pies,pan,bacon,jalapeno,cheese"
Actinolite,"971 Ossington Ave,Toronto, ON M6G 3V5","Holed up on an off-the-radar strip of Ossington, this contemporary Canadian restaurant turns out eye-opening fare. The level of respect chef-owner Justin Cournoyer has for the land, for the seasons and for the climate is palpable in every dish. All is local and seasonal, at Actinolite and the ethos permeates every aspect of the business. Canadian, Oysters",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/Actinolite-455x200.jpg,"ossington,restaurant,chef,dish,cournoyer,oysters,justin,canadian,respect,seasonal"
Aera,"444 Front St W,Toronto, ON M5V 2S9","Aera, the new hotspot from Oliver & Bonacini (O&B) on 8 Spadina’s 38th floor is bringing peak indulgence with a luxe steakhouse, sushi bar, cocktail spot and rooftop terrace offering stunning downtown views. Chefs Anthony Walsh and Binit Pandey serve up 21st-century American deliciousness, from raw bar specialties to premium steaks. Seafood, Steak",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/10/38th-floor-dining-room-1-455x200.png,"aera,steakhouse,steak,steaks,terrace,bar,chefs,bonacini,pandey,sushi"
AG Macarons,"107 Judge Rd,Etobicoke, ON M8Z 5B5","Aney Gesualdi Macarons offers a wide selection of French macarons, from signature flavours to limited edition seasonal ones. All macarons are made from fresh ingredients and with the utmost care. AG macarons has two locations, on Dupont and on the Queensway, and also supplies more than 200 retailers, so it must be doing something right. Bakery, Bakery Café",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/agmacarons-455x200.jpg,"macarons,bakery,flavours,café,ingredients,retailers,gesualdi,queensway,locations,aney"
AGO Bistro,"317 Dundas St W,Toronto, ON M5T 1G4","Be it for brunch, lunch, dinner or drinks, AGO Bistro will delight museum visitors with its quality fresh ingredients all sourced locally. Prix fixe menus are available for lunch and dinner, and a good time is guaranteed no matter the time or how big the dining party is. Bistro, Brunch",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/FRANK-flatbread-455x200.jpg,"bistro,dining,brunch,lunch,dinner,museum,drinks,menus,prix,party"
Agora,"921 Queen St W,Toronto, ON M6J 1G5","The Agora greek market is on Mamakas Food Group’s expanding list of restaurants. The Agora, meaning “assembly” or “gathering place,” was once a central public space in ancient Greece. Located on Queen Street West, across from Trinity Bellwoods Park, this market is the perfect stop on the way to an afternoon feast in the sun. Burgers, Fries",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/MAMAKAS-SOUVLA-WRAP-4-scaled-e1627997108269-455x200.jpg,"agora,greece,restaurants,greek,ancient,market,mamakas,place,located,food"
Akimitsu,"41 Elm St,Toronto, ON M5G 1H1","Toronto's first tempura donburi restaurant, also known as Shitamachi Tendon Akimitsu, sits above the new downtown location of Michelin-starred Konjiki Ramen. The global chain specializes in tempura-battered shrimp and seafood over rice. Japanese, Oysters",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/Akimitsu-_0010_IMG_0531-455x200.jpg,"tempura,donburi,shitamachi,ramen,restaurant,konjiki,seafood,akimitsu,toronto,shrimp"
Akira Back,"80 Blue Jays Way,Toronto, ON M5V 2G3","Named for its Michelin star–winning chef, Akira Back is a lavish Asian fusion restaurant that primarily pulls from Japanese and Korean cuisine. Asian, Filet Mignon",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/akira-back-455x200.jpg,"akira,mignon,japanese,chef,cuisine,restaurant,korean,fusion,asian,michelin"
Albert’s Real Jamaican Foods,"542 St Clair Ave W,Toronto, ON M6C 2R6","Having opened in 1986, Albert's Real Jamaican Foods has been giving the Bathurst and St. Clair area one of the best tastes of Caribbean cuisine the city has to offer. Breakfast Sandwiches, Caribbean",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/alberts-roti-455x200.jpg,"bathurst,caribbean,jamaican,albert,st,cuisine,foods,breakfast,sandwiches,opened"
Ali’s West Indian Roti Shop,"1446 Queen St W,Toronto, ON M6K 1M2","Ali's West Indian Roti Shop is Toronto's answer for specialists in the Trinidadian aspect of Caribbean cuisine. Caribbean, Halal",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/alis-roti-plate-455x200.jpg,"caribbean,trinidadian,roti,cuisine,ali,shop,toronto,halal,west,indian"
Allen’s,"143 Danforth Ave,Toronto, ON M4K 1N2","Since 1987, this East Toronto bar and restaurant, steps from Broadview station, has served up whiskey, beer, wine and food to both locals and those in the neighbourhood for a show at the adjacent Danforth Music Hall. The menu focuses on naturally-raised organic meats and Ontario produce, and is more ambitious than your regular pub Burgers, Butter Chicken",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/allens1-455x200.jpg,"toronto,ontario,restaurant,bar,broadview,pub,danforth,east,beer,whiskey"
Allwyn’s Bakery,,"Located in the Donwood Plaza, Allwyn's Bakery is serving up uncomplicated classics of Caribbean cuisine. The takeout, cash-only spot is open late, as it has a trusty following of regulars who make their way over from all corners of the GTA. Caribbean, Curry",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/allwyns-roti-455x200.jpg,"bakery,allwyn,caribbean,donwood,located,cuisine,takeout,curry,gta,open"
Alma,"1194 Bloor St W,Toronto, ON M6H 1N2","For chef Anna Chen’s first stand-alone restaurant, she opted to open a 32-seater in the west end. Blonde wood accents the minimalist room, and soulful tunes play overhead, foreshadowing Chen’s highly elegant take on comfort food. Buoyed by her knowledge from stints at Figo and Scaramouche — plus an upbringing in India — Chen has Bao, Chinese",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/alma1-455x200.jpg,"chen,bao,restaurant,chef,anna,room,chinese,seater,wood,food"
Alma,"1194 Bloor Street W,Toronto, ON M6H 1N2","This modern Chinese restaurant was recognized by both the Michelin Guide and Canada’s 100 Best Restaurants – neither of which are accolades to take lightly. Open from 5 p.m. to 10 p.m. on Tuesday through Saturday, Chef Anna Chen’s eatery boasts a menu inspired from her Hakka-Chinese upbringing in India. There’s handmade pasta and noodles Asian, Chinese",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/11/Snapinsta.app_432888862_18271716454202587_2129568913493881478_n_1080-455x200.webp,"restaurants,chinese,noodles,restaurant,chen,chef,eatery,hakka,asian,anna"
Almond Butterfly,"100 Harbord St,Toronto, ON M5S 1G6","Being liberated from gluten has never been so sweet. Having opened in 2011, Almond Butterfly is a petite bakery and bistro that has always been completely gluten-free. Bagels, Bakery",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/almond-bfly-455x200.jpg,"gluten,almond,bagels,bakery,butterfly,bistro,petite,sweet,liberated,2011"
Alo,"163 Spadina Ave,Toronto, ON M5V 2L6","Situated atop a heritage building at Queen Street and Spadina Avenue, Alo is one of those names that makes foodies stop in their tracks. Helmed by chef Patrick Kriss, one of the hottest names in the city’s food scene. The classically prepared, contemporary French cuisine and the ambience, alongside the exclusive nature of the reservations, Caviar, Fine Dining",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/alo2-455x200.jpg,"cuisine,alo,chef,dining,foodies,avenue,food,city,kriss,street"
Alo Salon,"162 Cumberland St,Toronto, ON M5R 1A8","Meet Salon: Alo’s first space dedicated to private dining. An intimate room that’s conveniently located in Yorkville, Salon will offer multi-course dinners in the style of Alo Bar, its adjacent neighbour, under the culinary direction of chef/owner Patrick Kriss, chef de cuisine Nick Bentley and chef de cuisine Tim Yun — Alo’s former sous chef. Bar, Ceviche",,"salon,dining,alo,culinary,chef,cuisine,yorkville,dinners,bar,room"
Alobar Yorkville,"162 Cumberland St,Toronto, ON M5R 1A8","Alobar Yorkville, the restaurant by chef and famed restaurateur Patrick Kriss, is an oasis of elegance tucked into an alley off of Cumberland Street in Toronto. The small 75-seat restaurant is a setting that is part lounge, part dining room, part bar — and all class. Cheesecake, Cocktail Bar",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/alobar-455x200.jpg,"yorkville,restaurant,restaurateur,dining,alobar,alley,patrick,kriss,chef,toronto"
Aloette,"163 Spadina Ave. 1st Floor,Toronto, ON M5V 2A5","Baby sis to Alo, this downstairs diner is the cool sibling — the more approachable one you want to be friends with (and actually stand a chance with). Walls are clad in sleek wood panelling, servers look jaunty in bow ties, and the food is comforting but never sloppy. Aloette’s menu isn’t so much greasy Burgers, Ceviche",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/Aloette-455x200.jpg,"sibling,aloette,diner,sis,downstairs,alo,burgers,ceviche,food,greasy"
Aloette Go,"171 E Liberty St Unit 127A,Toronto, ON M6K 3E7","Alo Food Group is back yet again with another neighbourhood hit—and, this time, you can bring it home. From the group behind Yokville’s Alobar and Alo comes a pandemic-inspired restaurant almost exclusively dedicated to takeout and delivery. Aloette  Go serves all the favourites from the French bistro, including the fried chicken and namesake Beaufort-cheese-topped Aloette Bar, Bistro",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/aloette-e1633580631349-455x200.jpg,"aloette,alobar,alo,restaurant,bistro,food,takeout,cheese,yokville,group"
Amal,"131 Bloor St W,Toronto, ON M5S 1R1","Amal Toronto is a decadent restaurant from INK Entertainment, the hospitality group behind notable Toronto spots like Byblos and Patria. As INK’s first Lebanese restaurant, Amal is a particularly personal project for the brand’s Beirut-born CEO Charles Khabouth. “It’s all the hits from my childhood,” says Khabouth of the menu. With much of its decor Chicken Wings, Kebabs",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/amallead3-455x200.jpg,"amal,toronto,brand,restaurant,lebanese,beirut,ink,kebabs,hospitality,ceo"
Amano Pasta,"Union Station, 65 Front St W,Toronto, ON M5J 1E6","Chef Michael Angeloni is bringing his love for pasta to the busy hub of Union Station and thanks to Amano Pasta, the dream of having a glass of wine or a cold beer while waiting for your train is now a reality. Antipasto, Calamari",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/Amano-455x200.jpg,"pasta,angeloni,amano,calamari,chef,wine,antipasto,train,union,station"
Ambassador Pizza,"946 Bloor St W,Toronto, ON M6H 1L6","Toronto meets Windsor at this pizza joint located across from Ossington Subway Station. Owners Gaetano Pugliese and Rene Chauvin opened Ambassador Pizza Co. as the first restaurant in the city to feature traditional Windsor pizza. These specialty pies are made with dough that is light and crunchy, topped with canned mushrooms and shredded pepperoni to Canadian, Casual",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/ambassado-455x200.jpg,"windsor,toronto,pepperoni,subway,pizza,restaurant,canadian,pies,ambassador,station"
Amsterdam Barrel House,"87 Laird Dr,Toronto, ON M4G 3T7","Amsterdam Brewery is taking its crisp lagers and bone shakers up north at Amsterdam Barrel House. The East York brew house is a more sophisticated pub than its Distillery District counterpart. With a more elegant atmosphere, it's no wonder this is where the brewers keep their barrel-aged and sour beer program. Bar, Burgers",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/AmsteramBARRELHOUSE-BEER-455x200.jpg,"amsterdam,brewery,brew,pub,distillery,beer,york,brewers,bar,east"
Amsterdam BrewHouse,"245 Queens Quay W,Toronto, ON M5J 2K9","Amsterdam BrewHouse, the restaurant outpost for Amsterdam Brewery, is about to be your new favourite. Where to begin: it has four patio spaces, landscape views of Toronto Island and the skyline, space for 1,000 guests in the dining room and an on-site brewery. Oh, and the food is pretty darn delicious. With plenty of vegetarian, Bar, Burgers",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/amsterdam-brewhouse-salad-455x200.jpg,"brewhouse,amsterdam,brewery,restaurant,toronto,dining,patio,bar,burgers,outpost"
Aneal’s Taste of the Islands,"10220 Yonge St,Richmond Hill, ON L4C 3B6","Come experience the flavour of the Caribbean way up the heart of the 905. Aneal's Taste of the Islands is Richmond Hill's resident destination for roti and other delicacies from the West Indies. Caribbean, Casual",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/aneals-chicken-plate-455x200.jpg,"caribbean,indies,richmond,islands,roti,destination,flavour,hill,taste,905"
Añejo,"600 King St W,Toronto, ON M5V 1M3","Añejo brings passion for all things Mexican (especially tequila) to the King West entertainment district. Añejo is hidden below street level in an historic building at the corner of King and Portland. Mexican dishes made with local ingredients and authentic recipes serve as the perfect accompaniment to one of a seemingly endless selection of tequilas Bar, Casual",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/anejo-455x200.jpg,"añejo,tequila,tequilas,mexican,accompaniment,bar,recipes,dishes,king,portland"
Animal Liberation Kitchen,"100 Broadview Ave unit 202,Toronto, ON M4M 3H3","This Riverside locale is putting a plant-based spin on famous comfort food. At Animal Liberation Kitchen, burgers are made from pulled jackfruit, the cheese in the mac and cheese is made from cashews, the maple bacon is made from tempeh, and it is all hearty and delicious. Breakfast Sandwiches, Croissant",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/alk-455x200.jpg,"burgers,bacon,food,cheese,sandwiches,jackfruit,kitchen,delicious,maple,cashews"
Annabelle Pasta Bar,"909 Davenport Rd,Toronto, ON M6G 2B7","Located just around the corner from BOB in Leslieville, Annabelle Pasta Bar is a comfortable space with a little “old world” feel, featuring a great downstairs bar and open kitchen. Bar, Brunch",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/annabellepasta-455x200.jpg,"bar,leslieville,kitchen,pasta,annabelle,located,corner,downstairs,brunch,bob"
Annex Café and Wine Bar,"296 Brunswick Ave,Toronto, ON M5S 2M7","We’ve only heard that Toronto has great hotels; being from here, we’ve never stayed at one. If this is your case, too, you now at least have a great reason to visit the Annex hotel: Annex Café and Wine Bar. In the morning, it’s a café that offers a great range of balanced breakfasts made Bar, Charcuterie",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/annex-cafe-and-wine-bar-app-455x200.jpg,"hotels,hotel,toronto,café,annex,visit,bar,breakfasts,morning,wine"
Annex Commons,",","Annex Commons is a food hall connected to the Annex Hotel, open to both locals and hotel guests. The menu is created and executed by Chinatown pizza spot Big Trouble Pizza. The two independent businesses work cohesively within one kitchen and operate through the same ordering counter. The Annex Commons is a seat-yourself and self- Bar, Coffee",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/annexcommons-455x200.jpg,"annex,commons,chinatown,hotel,pizza,kitchen,locals,businesses,guests,hall"
Antikka,"960 Queen St W,Toronto, ON M6J 1G8","This dark and edgy café is a mix between a Middle Eastern tea room and a punk record store, transitioning into a bar in the evening where there is live music, DJs and artists showing off their latest work. Armenian, Casual",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/ANTIKKA-BAKALAVA-455x200.jpg,"café,armenian,edgy,djs,dark,artists,bar,evening,room,music"
Antler,"1454 Dundas St W,Toronto, ON M6J 1Y6","Best known for being the subject of a vegan protest in the summer of 2018, Antler is actually a restaurant rooted in friendship, family, and above all, the forest. Chef Michael Hunter — aptly named, given the thematic congruence in his personal and professional pastimes — draws on a Canadian focus and a “forest to Burgers, Canadian",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/antler-455x200.jpg,"antler,chef,hunter,vegan,forest,michael,protest,restaurant,burgers,named"
Ardo,"243 King St E,Toronto, ON M5A 1J9","From a restaurant by the Tyrrhenian Sea in Milazzo, Sicily, to a rustic trattoria on King Street East, Roberto Marotta invites you to mange with him at Ardo. Serving up traditional Sicilian cuisine, Ardo is the place to go and feel like you're part of the family. Cannoli, Casual",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/ARDO-455x200.jpg,"ardo,sicily,sicilian,roberto,restaurant,marotta,milazzo,tyrrhenian,cuisine,cannoli"
Aris Place,"229 Roncesvalles Ave,Toronto, ON M6R 2L6","Aris Place has one of those old-school signs that makes you think twice about stepping inside, but those who dare to venture are in for a surprise. They’ve been serving up souvlaki in Roncesvalles for 30+ years in addition to being an all-day breakfast spot for locals. You can feast your eyes on black and BLT, Breakfast",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/aris-place-455x200.jpg,"aris,souvlaki,feast,breakfast,roncesvalles,place,signs,locals,serving,blt"
Aroma Espresso Bar,",","The café and cafeteria-style restaurant has become extremely popular for its guilt-free take-away and delicious Israeli-style breakfast. The hearty and homey shakshuka, which originated in Tunisia and means ""mixture,"" is usually associated with a dish belonging to the Sephardic Jewish people. Bagels, Bakery Café",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/aroma-shakshuka-toronto-455x200.jpg,"shakshuka,bakery,café,bagels,restaurant,cafeteria,breakfast,jewish,tunisia,israeli"
Art of BBQ,",","At Art of BBQ, smoked meat is, well, an art form. The joint began as a way to honour pit master Trevor David’s late uncle who loved smokehouse barbecuing in North Carolina. Now, Art of BBQ is one of Scarborough’s most authentic smokehouses, putting a northern Canadian taste on Southern-inspired smoked meats. The experimental flavours Barbecue, Brisket",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/aartof-e1627061483123-455x200.jpg,"barbecue,bbq,smokehouses,smokehouse,barbecuing,brisket,smoked,meat,meats,scarborough"
Artisan Plus,"122 Dundas St W,Toronto, ON M5G 1C3","North York's beloved Artisan Noodle has opened up a cool and cosy downtown outpost with Artisan Plus. This spot is home to northern Chinese delicacies that are often rare to find in Toronto, like the hand-pulled noodles or a jia mo, which can best be described as a Chinese hamburger. Casual, Chinese",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/artisan-plus-455x200.jpg,"noodle,artisan,noodles,chinese,downtown,jia,toronto,hamburger,north,york"
Ascari,"620 King St W,Toronto, ON M5V 1M5","Ascari Enoteca has been a favourite in Leslieville for nearly a decade, serving select European wines and fresh handmade pastas in its trendy yet intimate 38-seater. Partners Erik Joyal and John Sinopoli have long been cooking up something on a much larger scale, though, and the new Ascari is now open at King West and Antipasto, Calamari",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/AGNOLOTTI-DI-ZUCCHINE-1-455x200.jpg,"ascari,enoteca,calamari,leslieville,wines,sinopoli,seater,joyal,pastas,partners"
Ascari Enoteca,"1111 Queen St E,Toronto, ON M4M 1K7","Named after Italian racecar legend Alberto Ascari, Ascari Enoteca 26 is a bit of a throwback to the ’50s. Aiming to provide an experience similar to a classic Italian enoteca, the restaurant creates a space and ambiance that speaks to the enthusiasm that Ascari had for food and wine. Opened by the team that brought Antipasto, Italian",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/Ascari-Enoteca-455x200.jpeg,"ascari,enoteca,italian,racecar,alberto,restaurant,antipasto,named,26,wine"
Asian Legend,"418 Dundas St W,Toronto, ON M5T 1G2","Since its Chinatown location opened its doors in 1988, Asian Legend has spread across Toronto to give all diners a taste of northern Chinese dim sum and stir-fry. Their cooking motto is ""northern flavours with a traditional style,"" which has allowed for its chefs, all from reputable dining locales in Taiwan and mainland China, to fine-tune the menu and bring diners dishes like the especially flavour-rich kung pao chicken. Casual, Chinese",https://d2l4kn3pfhqw69.cloudfront.net/wp-content/uploads/2023/05/asian-legend-455x200.jpg,"chinatown,chinese,kung,taiwan,mainland,cooking,flavours,asian,chefs,flavour"
